amine,carboxylic acid,product,conversion,gt,pred,prob
Nc1ccccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)Nc1ccccc1C(=O)Oc1ccc([N+](=O)[O-])cc1,0,0,0,0.25600117
Cc1onc(N)c1C,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,Cc1onc(NC(=O)CNC(=O)CNC(=O)CNC(=O)OC(C)(C)C)c1C,0,0,0,0.22180937
Nc1ccccc1C#Cc1ccccc1,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)Nc1ccccc1C#Cc1ccccc1,86.8,1,0,0.45816222
CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,CCOc1cc(NC(=O)CNC(=O)CNC(=O)CNC(=O)OC(C)(C)C)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,0,0,0,0.1128412
OC(c1ccccc1)(c1ccccc1)C1CCCN1,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)N1CCCC1C(O)(c1ccccc1)c1ccccc1,100,1,0,0.4192795
C1CCC(NC2CCCCC2)CC1,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)N(C1CCCCC1)C1CCCCC1,0,0,0,0.38615897
COc1cccc(Nc2ccccc2)c1,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,COc1cccc(N(C(=O)CNC(=O)CNC(=O)CNC(=O)OC(C)(C)C)c2ccccc2)c1,0,0,0,0.14590968
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,97.8,1,1,0.8064622
COc1cccc(C(N)=S)c1,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,COc1cccc(C(=S)NC(=O)CNC(=O)CNC(=O)CNC(=O)OC(C)(C)C)c1,0,0,0,0.10522586
CC(N)c1ccccc1Br,CC(C)(C)OC(=O)NCC(=O)NCC(=O)NCC(=O)O,CC(NC(=O)CNC(=O)CNC(=O)CNC(=O)OC(C)(C)C)c1ccccc1Br,100,1,1,0.58469033
