t-SNE-1,t-SNE-2,target
-51.551003,27.526052,0
40.33614,-60.6012,0
49.971027,-29.19897,0
-47.150368,72.34974,0
-55.419876,9.156766,0
40.905552,-70.93477,0
14.987124,-68.23927,0
31.71971,52.088955,0
17.293747,-25.180029,0
-40.70164,3.308257,0
31.12164,50.131668,0
11.253353,84.972946,0
-3.7208757,13.328241,0
-10.228475,-53.380558,0
16.812468,-30.997828,0
29.085434,-20.30775,0
-38.923923,48.60421,0
38.35519,-2.3169696,0
66.87075,48.579094,0
65.9715,-23.633108,0
8.113306,5.8369913,0
55.8357,-10.301953,0
22.26634,-31.020388,0
52.626404,36.01373,0
-44.287666,-6.975142,0
19.620619,-35.50616,0
40.506687,16.578146,0
21.812551,-27.14388,0
19.382608,-69.35452,0
20.845997,58.093388,0
1.8899474,80.76256,0
-33.78225,2.8494601,0
-18.739523,-23.279636,0
-37.60103,31.49588,0
-36.274544,23.449156,0
-17.581066,20.45551,0
-10.533461,17.587751,0
-31.2949,71.02258,0
-38.849796,43.672268,0
27.206318,2.8952234,0
34.552868,-27.04161,0
-41.460835,-21.44792,0
-55.922134,-17.336319,0
17.794468,35.321995,0
21.70279,-21.894993,0
5.30521,47.023098,0
30.925379,16.929451,0
60.250694,-63.379375,0
12.7593355,34.746223,0
48.68735,-17.085352,0
-49.14093,-22.183256,0
-24.879066,-19.851585,0
-11.616738,15.65668,0
72.303696,-33.6265,0
-7.2968984,-72.90995,0
34.17911,-33.907684,0
8.272307,72.12885,0
65.56335,41.16368,0
15.819486,3.341464,0
48.17183,34.709694,0
-66.69009,-16.358017,0
-29.663328,33.831215,0
74.65704,26.104488,0
78.902084,-18.67828,0
-23.600327,-15.020685,0
38.032906,-4.217675,0
1.1105369,-68.7325,0
-77.500534,-20.708117,0
73.97513,-27.714172,0
-55.42451,49.633614,0
37.455406,29.095455,0
-76.994255,-10.440808,0
-40.318306,15.048316,0
50.519535,-5.77262,0
-39.513184,-3.8073385,0
54.20012,-9.10106,0
45.536438,-19.046011,0
-8.507419,-14.6180725,0
35.20806,30.225355,0
0.276898,8.836081,0
-4.484393,-92.10274,0
-45.515087,48.533108,0
-23.240765,67.69202,0
-20.954979,-25.288933,0
19.327154,-86.25463,0
52.06143,30.898844,0
-58.123592,26.25184,0
1.4765891,80.223076,0
24.021053,20.657066,0
-7.105863,-73.826035,0
-60.29351,-39.57348,0
10.105555,20.943907,0
55.8279,-66.8389,0
-20.542017,50.220116,0
43.746544,-2.9690158,0
6.779214,83.18659,0
22.90963,-85.53348,0
15.020943,-2.905997,0
-17.458006,-22.323391,0
29.715565,16.090124,0
-20.625177,7.945612,0
-76.441956,-12.2528105,0
-31.716873,39.95327,0
-17.367397,13.275944,0
-6.720921,-45.384212,0
1.7381716,-3.9473615,0
61.541294,51.49846,0
-65.54607,36.68866,0
1.711371,79.51268,0
-29.61095,0.1722067,0
-41.1479,-38.695156,0
-8.135209,-45.423965,0
48.539734,-30.39631,0
-57.487038,52.043976,0
-31.49724,-1.2005967,0
-16.893663,2.2663836,0
63.927963,46.231155,0
55.29706,-61.461388,0
13.961315,-3.407017,0
50.13267,-27.103153,0
53.09895,47.022026,0
57.965992,21.622606,0
26.424042,33.38293,0
41.787155,-18.918137,0
15.880134,78.13606,0
3.0179281,-21.49813,0
